maxord,nonlin_conv_coef,max_conv_fails,fixedpointvecs,eta_cf,eta_max_fx,eta_min_fx,eta_max_gs,eta_min,eta_min_ef,runtime
4,0.251126,18,6,0.666451,18.234078,12.367477,14.449489,0.345602,0.24203,261.856492
3,0.730558,24,13,0.062199,9.594245,7.246794,15.790994,0.039885,0.434724,239.527727
3,0.288133,45,8,0.387513,10.587809,10.31905,16.947951,0.326301,0.449855,100000000.0
2,0.060815,9,11,0.267519,9.921004,6.322898,19.426148,0.386744,0.894376,281.89642
5,0.861656,9,9,0.436086,6.691311,2.922893,4.134863,0.252758,0.385277,274.953031
3,0.845723,15,5,0.742035,17.602366,14.630748,16.35634,0.310598,0.565751,218.072412
4,0.456674,20,2,0.731479,17.226872,0.234524,8.383158,0.388338,0.132548,282.827407
2,0.865878,20,11,0.311235,17.981432,8.841679,5.501021,0.998695,0.694248,292.877103
4,0.834629,42,8,0.002779,8.460469,4.817223,10.579575,0.184916,0.033639,271.115148
5,0.488948,17,18,0.860873,17.165978,13.061044,1.183965,0.328611,0.43702,277.344817
2,0.575518,36,15,0.086803,19.715438,19.015234,3.924697,0.435129,0.897506,100000000.0
5,0.712832,42,11,0.138968,18.952249,14.180804,14.55137,0.308839,0.673211,266.274343
1,0.562121,22,17,0.693929,18.132842,0.027763,1.792395,0.11447,0.770798,298.399825
3,0.494126,6,10,0.368082,7.707599,2.364675,2.803151,0.101772,0.141338,282.088341
4,0.544966,14,12,0.804315,12.816915,1.65045,1.729085,0.745823,0.268773,350.713031
2,0.725428,30,20,0.648657,15.919241,9.169855,14.231976,0.287731,0.818633,268.844803
3,0.204381,30,9,0.89125,19.162824,18.408974,12.178833,0.589083,0.7796,277.813773
3,0.117381,34,14,0.459655,12.312141,6.960063,6.560024,0.684179,0.00749,279.492927
2,0.233506,26,3,0.662134,13.177056,11.226208,15.42528,0.070887,0.217077,246.4973
3,0.067249,21,19,0.087371,10.728013,2.049885,4.704901,0.162651,0.227242,275.013072
5,0.081677,25,15,0.192626,10.379934,8.885723,1.972416,0.919696,0.336496,282.635183
2,0.7732,27,7,0.385529,2.275438,2.055088,5.50747,0.66838,0.583921,283.460178
3,0.305841,3,5,0.521125,18.701768,10.918382,7.958703,0.47181,0.223392,288.855098
4,0.177072,19,17,0.568185,1.36815,1.289078,6.950446,0.62067,0.688111,288.574587
5,0.709884,3,11,0.370805,3.119592,0.340958,4.190318,0.045538,0.85649,284.001692
2,0.092343,43,5,0.137525,16.838977,3.724039,18.352543,0.580526,0.714363,269.740964
4,0.716858,44,8,0.313529,8.34738,3.877417,3.575215,0.457946,0.821705,293.901696
2,0.74766,36,1,0.746123,13.434815,1.868944,14.108536,0.304591,0.021921,279.613623
1,0.826528,29,17,0.523619,9.307734,1.96561,12.612708,0.338977,0.735625,268.800547
4,0.050233,10,16,0.006612,17.807824,5.49384,7.806412,0.671128,0.475021,280.678438
1,0.356642,19,16,0.411296,8.637624,3.154554,16.038876,0.154266,0.092451,260.163475
5,0.844554,18,7,0.237565,14.915815,0.278313,17.044188,0.855119,0.621817,268.429382
3,0.029283,49,12,0.168275,10.244837,5.951337,8.8103,0.461766,0.221876,272.518918
4,0.317214,44,15,0.73502,9.726547,1.231255,10.427782,0.199675,0.095388,268.14024
3,0.257846,40,15,0.777477,17.089346,12.158311,13.958964,0.617057,0.579214,270.629894
3,0.570145,50,17,0.187829,13.784389,4.205935,5.090821,0.618952,0.59648,281.235534
2,0.172759,41,9,0.152169,19.2702,9.282424,2.419429,0.927128,0.312004,100000000.0
1,0.88433,43,8,0.672272,13.259864,1.537115,4.339631,0.891469,0.155463,272.140108
2,0.695536,17,9,0.724731,11.943175,9.855631,13.526757,0.111315,0.24961,249.9407
4,0.497325,15,16,0.185031,15.600457,3.42852,2.618444,0.808435,0.792028,100000000.0
2,0.687354,11,13,0.498076,15.301541,0.616596,0.545283,0.623873,0.232764,240.739923
3,0.388091,29,5,0.668565,13.764452,4.307802,5.415703,0.24471,0.042869,295.024879
2,0.114442,23,3,0.105894,16.962994,9.654384,12.641244,0.303586,0.38914,256.986638
2,0.512918,10,14,0.144683,15.627236,3.494654,15.966346,0.472701,0.605076,247.638545
